message,mentions,extra
"""Louis il est devenu taliban""",@the_vess
"""c'est terrible jveux juste dormir""",@atlantis11656
« Shallout le amber alert test qui interrompt ma gooning sesh » -,@youllou
"""Il y a juste moi qui explose"" -",@redziation
"""tu coules de ta lasagne"" -",@redziation
"""il est en train de drown dans son propre sang, c'est quand meme fire""",@spiritumjr
"""Moi j'avance ma goute"" -",@redziation
"""Je vais te toucher""",@skippayy
"""Oop, we got an egger"" -",@gorebunz
> je me sens tellement moins bien depuis qu'on a arrêté de boire,@mangolien
"""c pas de la pedophilie ils sont barely legal a 15 ans"" -",@the_vess
"""She's asking for it because she's very cute""",@gorebunz
"""She Lays on my chip"" -",@euphoria9175
"""Prepuce chevré"" - <:skull_with_raised_eyebrow:1216215816693878884>",@skippayy
"""Approuvé par l'aeets"" -",@kariboubob
"""Cranberry blossussy"" -",@euphoria9175
"""Tantôt j'étais un elfe. Est-ce que ça compte comme une femme?""",@littlecowe
"""Tu viens de slap une femme""- 
""Non je viens de slap un child c'est mieux""-","@skippayy,@lecoss_0"
"""Pourquoi elle est sexualisée"" - , à propos d'un enfant non sexualisé",@lecoss_0
"""Le communicateur c'est comme un salon Discord, où tu peux communiquer""",Abderrahime
"""Tant qu’à se faire frapper par un autobus pour devenir alt-right, mieux vaut que le bus finisse la job."" -",@kariboubob
"""C't'une vacs si je le décide."" -",@kariboubob
"""C'est quoi le .... Polymorphisme?"" - 
""C'est quand tu te change en chèvre et tu meure fucking vite"" -","@spiritumjr,@gorebunz"
""" j'ai commencé a slug des miners"" -",@greatsymphonia
"Ca fait plus de 3 ans que je suis a l'ets, j'ai presque toujours été dans 3 clubs en même temps et mon plus gros tips c'est ""fait pas 3 clubs et aller à tes cours en même temps""",@youllou
"""je goon""",@hivemind
"""Yo! tu viens de tour Eiffel mon kazou!"" -",@skippayy
"""Y avait une place que je voulais aller, mais il était sur le chemin"" après avoir plaqué un gars",@skippayy
"""ça goûte le starbucks"" - avec sa zyn",@milkiie
"Douanier - ""Vous revenez d'où?""
 - ""Des États-Unis :3""",@atlantis11656
"""kill the children!"" -",@milkiie
"« Ok bonne nuit les enfants, maman s’en va gooner » -",@euphoria9175
« J’ai circoncis mon kazoo »,@skippayy
"""Tomorrow I gotta pregame my shift... so boring... yeah I gotta pregame it"" -",simo
"""I love little boys. Come here, I have candies"" -",@gorebunz
"""J'ai juté sur mon micro pour rien"" -",@youllou
"""J'ai juté sur mon micro"" -",@youllou
"""je roule un d20, sur une couleur je bois pas ce soir""",@spiritumjr
"""estrogen is outdated, pick polymorphine"" -",@spiritumjr
"""Bonjour, je suis le fourreur des bois"" - , avec l'accent allemand",@skippayy
"""Je vais te toucher la nuit""",@iench21
"""shalom shallout"" -",@iench21
"""si je suis en train de me crosser de la main droite, Chui tu Charlie Kirk?"" -",@chtingenieur
"""si tu te crosse avec la main droite c'est un Buffalo?"" -",@chtingenieur
"""there's no grève in Ba Sing Se"" -",@chtingenieur
"""il hit ce verre d'eau"" -",@gorebunz
Plus c'est frais mieux c'est -,@iench21
Goongoon gaga -,@spiritumjr
« Tu Rim pas le trou avant que tu le mange? »,@lecoss_0
Mystère et boule de cum -,@iench21
"« Suce d’abord, c’est comme ça que tu get plus de jus »",@lecoss_0
"""On va mettre un couteau dans le porte-feuille Louis Vuitton de Cathy Bègue"" -",@chtingenieur
"""C'est pas ma job de savoir tout ce qu'il se passe à l'ÉTS""",Kathy Bègue
"""You know school is bad when both Fabrice et Maxim prennent un café dans la même journée""",la blonde a @redziation
"""C'est le waluigi de Eve""",dom
"""Mange ta poutine big et arrête de me vaxxer"" -",@patates_cipsi418
"""Qu'il soit noté que je bas des femmes"" - en me serrant la main",@greatsymphonia
"""fuck around and find out"" -",@chtingenieur
Alice était prête,
Centrisme be like,@euphoria9175
> faut pas des chocolatines mais des chaussons aux pommes pendant la piquetage,@mangolien
"""J'écoute j'écoute mais là j'entends"" - qui s'endort",@littlecowe
